FID IID In_Regression PRS
083091Sm 5500024701 No 0.0412027778
083092Sm 5500010801 No -0.0104057222
083093Sm 5500032001 No 0.0456078111
083096Sm 5500023701 No -0.0273230889
083097Sm 5500022301 No 0.00807826667
083098Sm 8120008001 No 0.0688735556
083099Sm 5500023601 No 0.0478159667
083100Sm 5500024001 No -0.0374115889
083101Sm 5500004801 No 0.0310245111
083102Sm 5500040401 No 0.0123388667
083103Sm 8120013101 No 0.0792454444
083105Sm 5500023901 No 0.100788222
083106Sm 5500022801 No 0.0244679556
083107Sm 8120007901 No 0.0366770333
083108Sm 5500023501 No 0.0223011556
083109Sm 5500015001 Yes 0.145355022
083110Sm 5500078601 No -0.0415890111
083111Sm 5500041401 No 0.000730255556
083112Sm 8120012301 No 0.0445721111
083114Sm 5500023001 Yes -0.0283362667
083115Sm 5500014001 No 0.0156014222
083116Sm 8120005201 Yes 0.0256838
083117Sm 5500017301 No 0.0573643667
083118Sm 5500020401 No -0.0119661222
083119Sm 5500015602 No 0.0504757222
083120Sm 8120012801 No -0.0171736556
083122Sm 5500021101 No 0.0405826444
083123Sm 5500016301 Yes -0.0158460222
083124Sm 8120005301 No -0.00451618889
083126Sm 5500021801 No 0.00608561111
083127Sm 5500042701 No 0.0616934444
083129Sm 5500024601 No 0.0482353
083130Sm 5500022501 No 0.00823203333
083131Sm 5500020601 No 0.0168621
083132Sm 8120005401 No 0.0439752778
083133Sm 5500024801 No 0.0877606889
083134Sm 5500021601 No -0.0169666
083135Sm 8120010101 No 0.0537076
083138Sm 5500023301 No 0.00380744444
083139Sm 5500021201 No 0.0735359
083140Sm 5500016101 No -0.0322714222
083142Sm 5500020301 No 0.0053314
083143Sm 5500022101 No 0.0555712
083147Sm 5500024401 No 0.0361402222
083148Sm 5500016001 No -0.0384857
083149Sm 5500016901 No -0.0191628333
083150Sm 6100046901 No 0.0616524444
083151Sm 5500022901 No 0.0522896444
083152Sm 5500022401 No 0.0261936889
083159Sm 5500006401 Yes -0.0167180333
083160Sm 5500007901 No 0.0104531556
083162Sm 5500012501 No 0.0188653444
083167Sm 1100601001 No 0.309566989
083168Sm 5500006501 No 0.0925522444
083169Sm 5500008101 No 0.0246107889
083171Sm 5500012401 No 0.0963098667
